date,value
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,
1947-01-01,232.289
1947-04-01,234.674
1947-07-01,237.815
1947-10-01,250.456
1948-01-01,258.449
1948-04-01,267.362
1948-07-01,274.247
1948-10-01,275.865
1949-01-01,268.556
1949-04-01,265.068
1949-07-01,267.71
1949-10-01,267.628
1950-01-01,278.625
1950-04-01,288.74
1950-07-01,308.893
1950-10-01,320.099
1951-01-01,335.823
1951-04-01,342.147
1951-07-01,347.643
1951-10-01,351.988
1952-01-01,356.099
1952-04-01,359.079
1952-07-01,367.705
1952-10-01,381.825
1953-01-01,388.647
1953-04-01,393.0
1953-07-01,391.723
1953-10-01,386.305
1954-01-01,385.701
1954-04-01,385.867
1954-07-01,390.422
1954-10-01,398.589
1955-01-01,411.969
1955-04-01,421.687
1955-07-01,429.497
1955-10-01,436.852
1956-01-01,439.306
1956-04-01,444.101
1956-07-01,448.622
1956-10-01,455.936
1957-01-01,464.96
1957-04-01,467.926
1957-07-01,475.493
1957-10-01,471.476
1958-01-01,466.461
1958-04-01,471.507
1958-07-01,484.985
1958-10-01,499.815
1959-01-01,509.811
1959-04-01,523.421
1959-07-01,523.823
1959-10-01,527.974
1960-01-01,539.79
1960-04-01,537.685
1960-07-01,540.922
1960-10-01,534.317
1961-01-01,539.116
1961-04-01,550.818
1961-07-01,563.21
1961-10-01,576.039
1962-01-01,590.003
1962-04-01,595.589
1962-07-01,604.545
1962-10-01,609.147
1963-01-01,617.696
1963-04-01,624.194
1963-07-01,639.933
1963-10-01,648.228
1964-01-01,662.609
1964-04-01,672.369
1964-07-01,685.086
1964-10-01,690.124
1965-01-01,713.278
1965-04-01,723.503
1965-07-01,743.802
1965-10-01,766.107
1966-01-01,791.368
1966-04-01,800.349
1966-07-01,816.952
1966-10-01,829.536
1967-01-01,839.716
1967-04-01,844.763
1967-07-01,861.931
1967-10-01,879.196
1968-01-01,908.333
1968-04-01,932.595
1968-07-01,949.175
1968-10-01,967.085
1969-01-01,993.098
1969-04-01,1007.916
1969-07-01,1028.725
1969-10-01,1034.998
1970-01-01,1047.686
1970-04-01,1062.168
1970-07-01,1081.97
1970-10-01,1085.623
1971-01-01,1130.586
1971-04-01,1156.672
1971-07-01,1177.44
1971-10-01,1192.217
1972-01-01,1234.143
1972-04-01,1270.627
1972-07-01,1293.204
1972-10-01,1331.965
1973-01-01,1378.891
1973-04-01,1411.432
1973-07-01,1427.4
1973-10-01,1467.338
1974-01-01,1484.815
1974-04-01,1532.77
1974-07-01,1566.998
1974-10-01,1599.646
1975-01-01,1599.635
1975-04-01,1630.271
1975-07-01,1697.777
1975-10-01,1748.031
1976-01-01,1815.837
1976-04-01,1852.828
1976-07-01,1890.631
1976-10-01,1940.877
1977-01-01,2009.728
1977-04-01,2077.045
1977-07-01,2139.053
1977-10-01,2193.852
1978-01-01,2241.441
1978-04-01,2354.258
1978-07-01,2418.813
1978-10-01,2493.35
1979-01-01,2544.769
1979-04-01,2613.436
1979-07-01,2690.594
1979-10-01,2750.685
1980-01-01,2825.645
1980-04-01,2812.564
1980-07-01,2851.011
1980-10-01,2992.24
1981-01-01,3138.465
1981-04-01,3176.04
1981-07-01,3268.17
1981-10-01,3295.569
1982-01-01,3290.578
1982-04-01,3336.358
1982-07-01,3395.969
1982-10-01,3432.147
1983-01-01,3497.961
1983-04-01,3624.282
1983-07-01,3754.379
1983-10-01,3866.091
1984-01-01,4003.058
1984-04-01,4113.902
1984-07-01,4188.096
1984-10-01,4256.307
1985-01-01,4321.466
1985-04-01,4409.331
1985-07-01,4503.668
1985-10-01,4577.528
1986-01-01,4633.908
1986-04-01,4674.212
1986-07-01,4746.63
1986-10-01,4791.256
1987-01-01,4863.39
1987-04-01,4953.137
1987-07-01,5030.019
1987-10-01,5153.399
1988-01-01,5197.359
1988-04-01,5296.662
1988-07-01,5382.098
1988-10-01,5507.203
1989-01-01,5612.218
1989-04-01,5700.623
1989-07-01,5770.44
1989-10-01,5830.002
1990-01-01,5961.237
1990-04-01,6028.861
1990-07-01,6090.069
1990-10-01,6083.829
1991-01-01,6082.318
1991-04-01,6150.05
1991-07-01,6227.011
1991-10-01,6287.594
1992-01-01,6383.639
1992-04-01,6503.551
1992-07-01,6605.129
1992-10-01,6727.942
1993-01-01,6785.163
1993-04-01,6872.126
1993-07-01,6950.452
1993-10-01,7087.187
1994-01-01,7196.247
1994-04-01,7337.502
1994-07-01,7427.943
1994-10-01,7557.202
1995-01-01,7627.618
1995-04-01,7690.489
1995-07-01,7757.57
1995-10-01,7842.365
1996-01-01,7957.263
1996-04-01,8126.549
1996-07-01,8245.588
1996-10-01,8348.593
1997-01-01,8471.494
1997-04-01,8604.026
1997-07-01,8759.654
1997-10-01,8882.921
1998-01-01,9001.695
1998-04-01,9132.03
1998-07-01,9295.732
1998-10-01,9472.654
1999-01-01,9624.241
1999-04-01,9773.74
1999-07-01,9963.029
1999-10-01,10201.876
2000-01-01,10358.762
2000-04-01,10610.22
2000-07-01,10712.031
2000-10-01,10847.087
2001-01-01,10872.883
2001-04-01,10963.015
2001-07-01,10968.654
2001-10-01,11030.153
2002-01-01,11170.384
2002-04-01,11315.719
2002-07-01,11431.587
2002-10-01,11557.722
2003-01-01,11699.391
2003-04-01,11832.636
2003-07-01,12085.663
2003-10-01,12295.928
2004-01-01,12489.423
2004-04-01,12730.397
2004-07-01,12957.979
2004-10-01,13227.55
2005-01-01,13463.94
2005-04-01,13629.866
2005-07-01,13893.603
2005-10-01,14128.99
2006-01-01,14389.979
2006-04-01,14547.466
2006-07-01,14693.472
2006-10-01,14777.228
2007-01-01,14954.924
2007-04-01,15147.888
2007-07-01,15293.071
2007-10-01,15444.756
2008-01-01,15477.786
2008-04-01,15642.106
2008-07-01,15686.352
2008-10-01,15236.683
2009-01-01,14851.894
2009-04-01,14739.605
2009-07-01,14872.88
2009-10-01,15124.503
2010-01-01,15273.802
2010-04-01,15522.708
2010-07-01,15695.55
2010-10-01,15833.06
2011-01-01,15919.925
2011-04-01,16138.631
2011-07-01,16214.791
2011-10-01,16444.047
2012-01-01,16671.076
2012-04-01,16772.356
2012-07-01,16842.624
2012-10-01,16936.293
2013-01-01,17147.537
2013-04-01,17227.067
2013-07-01,17435.905
2013-10-01,17626.038
2014-01-01,17707.826
2014-04-01,18023.912
2014-07-01,18293.586
2014-10-01,18442.829
2015-01-01,18589.961
2015-04-01,18789.311
2015-07-01,18939.708
2015-10-01,18958.375
2016-01-01,19037.614
2016-04-01,19201.072
2016-07-01,19373.869
2016-10-01,19620.185
2017-01-01,19813.504
2017-04-01,19992.142
2017-07-01,20224.092
2017-10-01,20591.984
2018-01-01,20904.584
2018-04-01,21124.735
2018-07-01,21416.977
2018-10-01,21552.074
2019-01-01,21702.72
2019-04-01,21999.797
2019-07-01,22278.54
2019-10-01,22418.536
2020-01-01,22224.534
2020-04-01,20444.28
2020-07-01,22343.387
2020-10-01,22785.162
2021-01-01,23392.602
2021-04-01,24124.334
2021-07-01,24713.25
2021-10-01,25578.892
2022-01-01,26118.793
2022-04-01,26569.841
2022-07-01,26886.665
2022-10-01,27285.609
2023-01-01,27639.287
2023-04-01,27869.104
2023-07-01,28389.359
2023-10-01,28740.732
2024-01-01,29104.07
