date,value
1984-01-01,56780.0
1985-01-01,57860.0
1986-01-01,60010.0
1987-01-01,60760.0
1988-01-01,61210.0
1989-01-01,62260.0
1990-01-01,61500.0
1991-01-01,59710.0
1992-01-01,59210.0
1993-01-01,58920.0
1994-01-01,59550.0
1995-01-01,61440.0
1996-01-01,62350.0
1997-01-01,63640.0
1998-01-01,65980.0
1999-01-01,67650.0
2000-01-01,67470.0
2001-01-01,66360.0
2002-01-01,65820.0
2003-01-01,65860.0
2004-01-01,65760.0
2005-01-01,66780.0
2006-01-01,67520.0
2007-01-01,68610.0
2008-01-01,66280.0
2009-01-01,65850.0
2010-01-01,64300.0
2011-01-01,63350.0
2012-01-01,63350.0
2013-01-01,65740.0
2014-01-01,64900.0
2015-01-01,68410.0
2016-01-01,70840.0
2017-01-01,72090.0
2018-01-01,73030.0
2019-01-01,78250.0
2020-01-01,76660.0
2021-01-01,76330.0
2022-01-01,74580.0
